Orthogroup species refseq ensembl_gene_id go_id
1 OG0001300 Parus_major XP_015501167 ENSPMJG00000018813 
2 OG0001300 Taeniopygia_guttata XP_030142999 ENSTGUG00000028237 GO:0016020
3 OG0001300 Taeniopygia_guttata XP_030142999 ENSTGUG00000028237 GO:0016021
4 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0005739
5 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0005777
6 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0033540
7 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0004092
8 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0019254
9 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0051791
10 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0003997
11 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0016746
12 OG0001691 Parus_major XP_015500245 ENSPMJG00000006947 GO:0046459
13 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0016324
14 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0045177
15 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0001843
16 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0005737
17 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0042472
18 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0001736
19 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0005886
20 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0017147
21 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0001764
22 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0060070
23 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0030165
24 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0030901
25 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0036342
26 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0048786
27 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0043025
28 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0030425
29 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0002052
30 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0016328
31 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:1900118
32 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0042813
33 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0061549
34 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0033278
35 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0045976
36 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:1904938
37 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0071679
38 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0001942
39 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0036514
40 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0036515
41 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0030424
42 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0032433
43 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0016055
44 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0004888
45 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0007166
46 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0005515
47 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0016021
48 OG0001268 Parus_major XP_015478592 ENSPMJG00000013071 GO:0016020
49 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0016020
50 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0016021
51 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0004888
52 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0007166
53 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0016055
54 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0042813
55 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0017147
56 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0030165
57 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0001736
58 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0001764
59 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0001843
60 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0002052
61 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0030901
62 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0033278
63 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0036342
64 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0036514
65 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0036515
66 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0042472
67 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0045976
68 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0060070
69 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0061549
70 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0071679
71 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:1900118
72 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:1904938
73 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0005737
74 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0005886
75 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0016324
76 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0016328
77 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0030424
78 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0030425
79 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0032433
80 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0043025
81 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0045177
82 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0048786
83 OG0001268 Taeniopygia_guttata XP_030125720 ENSTGUG00000013332 GO:0005515
84 OG0001324 Parus_major XP_015504460 ENSPMJG00000017733 GO:0033693
85 OG0001324 Parus_major XP_015504460 ENSPMJG00000017733 GO:0005883
86 OG0001324 Parus_major XP_015504460 ENSPMJG00000017733 GO:0005882
87 OG0001324 Parus_major XP_015504460 ENSPMJG00000017733 GO:0005198
88 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0005737
89 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0005198
90 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0005856
91 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0042995
92 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0005882
93 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0005883
94 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0033693
95 OG0001324 Taeniopygia_guttata XP_002197538 ENSTGUG00000004494 GO:0030424
96 OG0001373 Parus_major XP_015498107 ENSPMJG00000017440 GO:0030036
97 OG0001373 Parus_major XP_015498107 ENSPMJG00000017440 GO:0051014
98 OG0001373 Parus_major XP_015498107 ENSPMJG00000017440 GO:0051015
99 OG0001373 Parus_major XP_015498107 ENSPMJG00000017440 GO:0005515
100 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0051015
101 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0003779
102 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0051014
103 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0030036
104 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0005654
105 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0005829
106 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0005903
107 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0034451
108 OG0001373 Taeniopygia_guttata XP_030140967 ENSTGUG00000007171 GO:0005515
109 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0007186
110 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0005886
111 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0120162
112 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0032088
113 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0006935
114 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0097003
115 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0045600
116 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0010759
117 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0032695
118 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0050848
119 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0004930
120 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0016021
121 OG0001392 Parus_major XP_015499049 ENSPMJG00000008205 GO:0097004
