Orthogroup species refseq ensembl_gene_id go_id
1 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0016021
2 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0008146
3 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0016051
4 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0016020
5 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0016740
6 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0000139
7 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0005975
8 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0005794
9 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0001537
10 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0006790
11 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0030166
12 OG0001300 Ficedula_albicolis_protein XP_005052815 ENSFALG00000007781 GO:0042446
13 OG0001300 TaeGut_protein XP_030138447 ENSTGUG00000025626 GO:0042446
14 OG0001300 TaeGut_protein XP_030138447 ENSTGUG00000025626 GO:0030166
15 OG0001300 TaeGut_protein XP_030138447 ENSTGUG00000025626 GO:0006790
16 OG0001300 TaeGut_protein XP_030138447 ENSTGUG00000025626 GO:0001537
17 OG0001300 TaeGut_protein XP_030138447 ENSTGUG00000025626 GO:0016051
18 OG0001300 TaeGut_protein XP_030138447 ENSTGUG00000025626 GO:0008146
19 OG0001300 TaeGut_protein XP_030138447 ENSTGUG00000025626 GO:0016021
20 OG0001373 TaeGut_protein XP_030113967 ENSTGUG00000000028 GO:0005515
21 OG0001923 TaeGut_protein XP_030140810 ENSTGUG00000016384 GO:0005515
22 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0016021
23 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0004930
24 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0007186
25 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0005887
26 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0042310
27 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0004993
28 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0006939
29 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0007268
30 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0050795
31 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0040012
32 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0016020
33 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0005886
34 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0007165
35 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0045202
36 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0098664
37 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0051378
38 OG0000819 Ficedula_albicolis_protein XP_005058387 ENSFALG00000014281 GO:0009636
39 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0005887
40 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0007193
41 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0004993
42 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0014827
43 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0040012
44 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0050795
45 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0042310
46 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0006939
47 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0007268
48 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0007186
49 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0004930
50 OG0000819 Parus_major_protein XP_015504998 ENSPMJG00000007068 GO:0016021
51 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0016020
52 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0016021
53 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0005886
54 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0007186
55 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0007165
56 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0045202
57 OG0000819 TaeGut_protein XP_002197848 ENSTGUG00000001436 GO:0004930
